订单编号,下单国家,店铺名,订单拥有账户,买家昵称,创建时间,买家留言,订单状态,出单汇率,平台佣金,交易费用,服务费,优惠券,预估运费,实际运费,退款,总费用,商品收入,运费收入,平台补贴,其他收入,总收入,订单实际收入（订单总收入-订单总费用）,预估收入（人民币）,购买的商品
221212F4QDMU63,巴西,dx795.br,10,angelina2021moura,2022-12-12 13:01:22,无留言,已作废,1.4032,0.0,0.0,0.0,0.0,22.9,22.9,0.0,22.9,50.14,0.0,0.0,0.0,50.14,27.24,38.223168,"[['HG6666-B', 'https://br.xiapibuy.com/product/799345426/14588666362', 1], ['HG6666-C', 'https://br.xiapibuy.com/product/799345426/14588666362', 1], ['HG6666-D', 'https://br.xiapibuy.com/product/799345426/14588666362', 1], ['HG6666-A', 'https://br.xiapibuy.com/product/799345426/14588666362', 1]]"
221212F4AX20D4,墨西哥,dx795.mx,10,brendajml,2022-12-12 12:54:20,无留言,线上支付,0.365,12.41,3.28,0.0,4.0,107.0,107.0,0.0,126.69,128.07,40.0,0.0,0.0,168.07,41.38,15.103699999999998,"[['HA5662-Pocoyo', 'https://mx.xiapibuy.com/product/822398749/16380631462', 1]]"
221212F1A0T3N2,越南,dx795.vn,10,anhngoc1206,2022-12-12 12:00:10,无留言,货到付款,0.000291,3509.0,1170.0,4253.0,3500.0,19500.0,19500.0,0.0,31932.0,56663.0,0.0,15000.0,0.0,71663.0,39731.0,11.561721,"[['HA0019-15cm', 'https://vn.xiapibuy.com/product/822397021/18339497182', 1]]"
221212F16H49VH,新加坡,dx795.sg,10,reagaaaantan_,2022-12-12 11:58:12,无留言,线上支付,5.1186,0.14,0.06,0.13,0.0,1.87,1.87,0.0,2.2,1.96,1.0,0.0,0.0,2.96,0.7599999999999998,3.890135999999999,"[['HI9041-1pc Random Color', 'https://sg.xiapibuy.com/product/814881351/21928146880', 1]]"
221212EY3BQ5E5,墨西哥,dx795.mx,10,glittersunrise1,2022-12-12 11:20:38,无留言,线上支付,0.365,18.07,4.41,0.0,8.0,103.0,103.0,0.0,133.48,188.68,40.0,0.0,0.0,228.68,95.20000000000002,34.748000000000005,"[['HA6917-C', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1], ['HA6917-D', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1], ['HA6917-A', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1]]"
221212EX88PBHG,墨西哥,dx795.mx,10,glittersunrise1,2022-12-12 11:07:24,无留言,已作废,0.365,0.0,0.0,0.0,0.0,79.0,79.0,0.0,79.0,249.0,0.0,0.0,0.0,249.0,170.0,62.05,"[['HA6917-A', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1], ['HA6917-C', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1], ['HA6917-D', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1], ['HA6917-E', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1]]"
221212EWT5N8S8,巴西,dx795.br,10,railanc12,2022-12-12 10:57:35,无留言,线上支付,1.4032,4.32,1.08,3.24,2.0,45.6,45.6,0.0,56.24,55.99,0.0,20.0,0.0,75.99,19.749999999999996,27.71319999999999,"[['HA9585-Blue-30cm/0.22kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
221212EWKHV04E,波兰,pet795.pl,10,1srgdlni4o,2022-12-12 10:53:56,无留言,线上支付,1.4955,4.05,0.91,1.1,5.04,3.25,3.25,0.0,14.35,50.32,0.0,0.0,0.0,50.32,35.97,53.793135,"[['GA0053-Red-L', 'https://pl.xiapibuy.com/product/845153621/16086741930', 1], ['GD6283-Black-XL', 'https://pl.xiapibuy.com/product/845153621/18045997935', 1], ['GA9630-Red', 'https://pl.xiapibuy.com/product/845153621/21336299622', 1]]"
221212EWJYRX9A,越南,dx795.vn,10,camha135,2022-12-12 10:53:43,无留言,线上支付,0.000291,12450.0,3974.0,15090.0,8888.0,51900.0,51900.0,0.0,92302.0,197519.0,0.0,15000.0,0.0,212519.0,120217.0,34.983147,"[['HA0439-B-25cm', 'https://vn.xiapibuy.com/product/822397021/15193818628', 1], ['HA2320-Smile style-40cm(0.4kg)', 'https://vn.xiapibuy.com/product/822397021/20426501564', 1]]"
221212EVS7S1CY,越南,dx795.vn,10,kieutrinh160686,2022-12-12 10:39:10,无留言,线上支付,0.000291,5525.0,1886.0,6697.0,0.0,28700.0,28700.0,0.0,42808.0,83710.0,2000.0,15000.0,0.0,100710.0,57902.0,16.849482000000002,"[['HB4910-Red', 'https://vn.xiapibuy.com/product/822397021/18025670765', 1], ['HB4910-Blue', 'https://vn.xiapibuy.com/product/822397021/18025670765', 1], ['HI6423-Yellow', 'https://vn.xiapibuy.com/product/822397021/19528759535', 1]]"
221212ESER9AN9,哥伦比亚,pet795.co,10,ko5rwkzkjo,2022-12-12 09:39:43,无留言,线上支付,0.001494,2182.0,679.0,1309.0,0.0,20900.0,20900.0,0.0,25070.0,25965.0,8000.0,0.0,0.0,33965.0,8895.0,13.28913,"[['GC0045-Pink-L', 'https://co.xiapibuy.com/product/843457396/21145176440', 1]]"
221212ERH1HP85,哥伦比亚,DX -Juguetes para niños,10,h48q9392_s,2022-12-12 09:23:02,无留言,异常单,0.001494,1918.0,417.0,1151.0,500.0,13200.0,13200.0,0.0,17186.0,23324.0,0.0,4800.0,0.0,28124.0,10938.0,16.341372,"[['HX4314-B(with box)', 'https://co.xiapibuy.com/product/830824436/18743330707', 1]]"
221212ER535NN8,墨西哥,dx795.mx,10,p37u98atcq,2022-12-12 09:17:12,无留言,线上支付,0.365,30.8,6.96,0.0,20.0,207.0,207.0,0.0,264.76,328.02,40.0,0.0,0.0,368.02,103.26,37.6899,"[['HA3298-A-35cm', 'https://mx.xiapibuy.com/product/822398749/16085680733', 2]]"
221212ENVUBA2F,哥伦比亚,pet795.co,10,nelsonte22,2022-12-12 08:35:57,无留言,线上支付,0.001494,3244.0,772.0,1946.0,0.0,30500.0,30500.0,0.0,36462.0,38604.0,0.0,8000.0,0.0,46604.0,10142.0,15.152148,"[['GA0073-Black-XL', 'https://co.xiapibuy.com/product/843457396/19535236877', 1]]"
221212ENPWQQW1,越南,dx795.vn,10,hianhnguyn005,2022-12-12 08:32:38,无留言,货到付款,0.000291,3862.0,1287.0,4681.0,6502.0,28500.0,28500.0,0.0,44832.0,65016.0,0.0,15000.0,0.0,80016.0,35184.0,10.238544,"[['HA4547-Giraffe', 'https://vn.xiapibuy.com/product/822397021/21139799490', 1]]"
221212ENHG22HS,越南,pet795.vn,10,290q0h0iiu,2022-12-12 08:29:35,无留言,货到付款,0.000291,2911.0,1014.0,3528.0,0.0,25100.0,25100.0,0.0,32553.0,44104.0,2000.0,15000.0,0.0,61104.0,28551.0,8.308341,"[['GA6021-Dragonfly', 'https://vn.xiapibuy.com/product/841366633/20141340294', 2], ['GA6021-Caterpillar2', 'https://vn.xiapibuy.com/product/841366633/20141340294', 1]]"
221212ENA0RPT5,巴西,dx795.br,10,laisrover,2022-12-12 08:25:23,无留言,线上支付,1.4032,4.48,1.12,3.36,0.0,40.6,40.6,0.0,49.56,55.99,0.0,15.0,0.0,70.99,21.429999999999996,30.07057599999999,"[['HA9585-Blue-30cm/0.22kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
221212EN7P7BBK,菲律宾,dx795.ph,10,alyn0016,2022-12-12 08:24:06,无留言,线上支付,0.123,12.0,6.0,17.0,5.0,173.0,173.0,0.0,213.0,212.0,60.0,0.0,0.0,272.0,59.0,7.257,"[['HG6947-Red Dump truck', 'https://ph.xiapibuy.com/product/822395589/16179790802', 1]]"
221212EN6AGTMT,巴西,dx795.br,10,laisrover,2022-12-12 08:23:21,无留言,已作废,1.4032,0.0,0.0,0.0,0.0,25.6,25.6,0.0,25.6,55.99,0.0,0.0,0.0,55.99,30.39,42.643248,"[['HA9585-Blue-30cm/0.22kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
221212EK808CKY,巴西,dx795.br,10,tatyanegombradi,2022-12-12 07:48:29,无留言,线上支付,1.4032,4.32,1.06,3.24,2.0,40.6,40.6,0.0,51.22,55.99,0.0,15.0,0.0,70.99,19.77,27.741263999999997,"[['HA9585-Blue-30cm/0.22kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
221212EGXT3K45,智利,dx795.cl,10,michelle2508.157,2022-12-12 07:07:33,无留言,线上支付,0.007488,1172.0,234.0,703.0,400.0,7510.0,7510.0,0.0,10019.0,12118.0,0.0,1860.0,0.0,13978.0,3959.0,29.644992,"[['HA5662-Pato', 'https://cl.xiapibuy.com/product/830835870/21629809254', 1], ['HA5662-Pocoyo', 'https://cl.xiapibuy.com/product/830835870/21629809254', 1]]"
221212EGHJM3RH,越南,dx795.vn,10,nguyenmaily03,2022-12-12 07:00:09,无留言,货到付款,0.000291,2961.0,987.0,3590.0,4986.0,20400.0,20400.0,0.0,32924.0,49857.0,0.0,15000.0,0.0,64857.0,31933.0,9.292503,"[['HA8414-Wine red-15cm', 'https://vn.xiapibuy.com/product/822397021/18125670576', 1]]"
221212EFRDRUXG,越南,dx795.vn,10,star_217,2022-12-12 06:46:05,无留言,货到付款,0.000291,5878.0,1944.0,7125.0,3500.0,35000.0,35000.0,0.0,53447.0,92558.0,2000.0,15000.0,0.0,109558.0,56111.0,16.328301,"[['HA0019-25cm', 'https://vn.xiapibuy.com/product/822397021/18339497182', 1]]"
221212EAJCRRPX,巴西,dx795.br,10,carolinacholakov,2022-12-12 05:13:13,无留言,线上支付,1.4032,3.15,0.79,2.36,0.0,31.6,31.6,0.0,37.9,39.38,0.0,15.0,0.0,54.38,16.480000000000004,23.12473600000001,"[['HA3037-Blue', 'https://br.xiapibuy.com/product/799345426/18952999775', 1]]"
221212E6CX9S7S,哥伦比亚,pet795.co,10,lauraperdomo23,2022-12-12 03:58:35,无留言,线上支付,0.001494,765.0,342.0,459.0,0.0,11150.0,11150.0,0.0,12716.0,9101.0,8000.0,0.0,0.0,17101.0,4385.0,6.55119,"[['GB5818-M-Random（1 pcs）', 'https://co.xiapibuy.com/product/843457396/19335217442', 1]]"
221212E2T5RVS7,越南,pet795.vn,10,giadungvanhuy,2022-12-12 02:54:25,无留言,已作废,0.000291,0.0,0.0,0.0,0.0,2700.0,2700.0,0.0,2700.0,23659.0,0.0,0.0,0.0,23659.0,20959.0,6.099069000000001,"[['GD6514-White', 'https://vn.xiapibuy.com/product/841366633/20137552929', 1]]"
221212E04Y4EAG,墨西哥,dx795.mx,10,edgar2010,2022-12-12 02:06:49,无留言,线上支付,0.365,15.06,3.81,0.0,0.0,111.0,111.0,0.0,129.87,150.6,40.0,0.0,0.0,190.6,60.72999999999999,22.166449999999998,"[['HA2430-Bread and Butter-40cm (140G)', 'https://mx.xiapibuy.com/product/822398749/21329751078', 1]]"
221212DYSX8MGC,泰国,dx795.th,10,09n21gzsm6,2022-12-12 02:00:35,无留言,货到付款,0.1905,2.0,1.0,1.0,0.0,29.0,29.0,0.0,33.0,27.0,29.0,0.0,0.0,56.0,23.0,4.3815,"[['HA1144-Green-45cm', 'https://th.xiapibuy.com/product/822398156/21128742594', 1]]"
221212DY30VSHW,巴西,dx795.br,10,adrianan10,2022-12-12 01:47:52,无留言,线上支付,1.4032,4.32,1.07,3.24,2.0,45.6,45.6,0.0,56.23,55.99,0.0,20.0,0.0,75.99,19.75999999999999,27.727231999999987,"[['HA9585-Blue-30cm/0.22kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
221212DXD019XK,越南,dx795.vn,10,tthinh2472,2022-12-12 01:38:10,无留言,货到付款,0.000291,8349.0,2717.0,10120.0,3500.0,41300.0,41300.0,0.0,65986.0,129999.0,5000.0,12000.0,0.0,146999.0,81013.0,23.574783000000004,"[['HA2320-Surprised Style-40cm(0.4kg)', 'https://vn.xiapibuy.com/product/822397021/20426501564', 1]]"
221212DWNV3TES,越南,dx795.vn,10,nabra444,2022-12-12 01:34:57,无留言,货到付款,0.000291,3291.0,1427.0,3989.0,0.0,20400.0,20400.0,0.0,29107.0,49857.0,15000.0,0.0,0.0,64857.0,35750.0,10.403250000000002,"[['HA8414-Wine red-15cm', 'https://vn.xiapibuy.com/product/822397021/18125670576', 1]]"
221212DX6G4KRP,越南,dx795.vn,10,tthinh2472,2022-12-12 01:33:00,无留言,货到付款,0.000291,8349.0,2893.0,10120.0,3500.0,29300.0,29300.0,0.0,54162.0,129999.0,5000.0,0.0,0.0,134999.0,80837.0,23.523567000000003,"[['HA2320-Surprised Style-40cm(0.4kg)', 'https://vn.xiapibuy.com/product/822397021/20426501564', 1]]"
221212DWY8HUAF,墨西哥,dx795.mx,10,vanesaber,2022-12-12 01:32:03,无留言,线上支付,0.365,95.11,19.82,0.0,0.0,295.0,295.0,0.0,409.93,951.14,40.0,0.0,0.0,991.14,581.21,212.14165,"[['HA6917-C', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1], ['HA6917-D', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1], ['HA6917-D', 'https://mx.xiapibuy.com/product/822398749/21949389847', 2], ['HA6917-E', 'https://mx.xiapibuy.com/product/822398749/21949389847', 2], ['HA6917-F', 'https://mx.xiapibuy.com/product/822398749/21949389847', 3], ['HA6917-A', 'https://mx.xiapibuy.com/product/822398749/21949389847', 3], ['HA6917-B', 'https://mx.xiapibuy.com/product/822398749/21949389847', 2], ['HA6917-C', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1]]"
221212DW6SGPG7,越南,dx795.vn,10,thanhloan46,2022-12-12 01:18:46,无留言,货到付款,0.000291,7722.0,2442.0,9360.0,13000.0,41300.0,41300.0,0.0,73824.0,129999.0,2000.0,15000.0,0.0,146999.0,73175.0,21.293925,"[['HA2320-Surprised Style-40cm(0.4kg)', 'https://vn.xiapibuy.com/product/822397021/20426501564', 1]]"
221212DW3AUF79,越南,pet795.vn,10,qunhhngphm860,2022-12-12 01:17:38,无留言,货到付款,0.000291,0.0,0.0,0.0,0.0,2700.0,2700.0,0.0,2700.0,23659.0,0.0,0.0,0.0,23659.0,20959.0,6.099069000000001,"[['GD6514-White', 'https://vn.xiapibuy.com/product/841366633/20137552929', 1]]"
221212DVNP6CR1,越南,pet795.vn,10,nguyendon_208,2022-12-12 01:10:13,无留言,货到付款,0.000291,1805.0,602.0,2188.0,0.0,8100.0,8100.0,0.0,12695.0,27350.0,0.0,0.0,0.0,27350.0,14655.0,4.264605,"[['GA9294-Blue', 'https://vn.xiapibuy.com/product/841366633/18834362682', 1]]"
221212DVJMU2TS,越南,pet795.vn,10,_phuong_linh_1508,2022-12-12 01:04:21,无留言,货到付款,0.000291,24212.0,7895.0,29347.0,15000.0,17700.0,17700.0,0.0,94154.0,381841.0,0.0,15000.0,0.0,396841.0,302687.0,88.081917,"[['GA7870-round Small Size 29*32', 'https://vn.xiapibuy.com/product/841366633/19364209737', 1], ['GA0175-Purple', 'https://vn.xiapibuy.com/product/841366633/21447373706', 1], ['GA4870-Cat Mint', 'https://vn.xiapibuy.com/product/841366633/21739514474', 1]]"
221212DUVYJ58U,巴西,dx795.br,10,samuelplacerda,2022-12-12 00:50:47,无留言,线上支付,1.4032,7.84,1.95,5.88,2.0,64.0,64.0,0.0,81.67,99.99,0.0,15.0,0.0,114.99,33.31999999999999,46.75462399999999,"[['HA9585-Blue-45cm/0.48kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
221211DNV46E84,巴西,dx795.br,10,odairrodrigues341,2022-12-11 23:02:52,无留言,线上支付,1.4032,8.0,2.0,6.0,0.0,49.0,49.0,0.0,65.0,99.99,0.0,0.0,0.0,99.99,34.989999999999995,49.097968,"[['HA9585-Blue-45cm/0.48kg', 'https://br.xiapibuy.com/product/799345426/14588666368', 1]]"
221211DK4R318X,巴西,dx795.br,10,polianegonalves945,2022-12-11 22:14:00,无留言,线上支付,1.4032,4.44,1.11,3.33,2.92,44.2,44.2,0.0,56.0,58.37,0.0,15.0,0.0,73.37,17.370000000000005,24.373584000000008,"[['HG6028-Blue', 'https://br.xiapibuy.com/product/799345426/13994484674', 1], ['HE6165-Random Color-35CM', 'https://br.xiapibuy.com/product/799345426/20718142113', 2]]"
221211DK248DQ2,波兰,pet795.pl,10,8bz6jiaqv6,2022-12-11 22:12:33,无留言,已作废,1.4955,0.0,0.0,0.0,0.0,3.77,3.77,0.0,3.77,6.52,0.0,0.0,0.0,6.52,2.75,4.112625,"[['GA0058-Blue', 'https://pl.xiapibuy.com/product/845153621/13796817059', 1]]"
221211DHN71Y1T,泰国,dx795.th,10,saranrat_46,2022-12-11 21:47:27,无留言,货到付款,0.1905,2.0,1.0,2.0,0.0,35.0,35.0,0.0,40.0,35.0,0.0,29.0,0.0,64.0,24.0,4.572,"[['HJ0864-1 Pcs Smile face', 'https://th.xiapibuy.com/product/822398156/20025705750', 2]]"
221211DE9YQSTF,越南,dx795.vn,10,xu_09092007,2022-12-11 20:47:27,kh nhận giờ hành chính,货到付款,0.000291,8349.0,3157.0,10120.0,3500.0,41300.0,41300.0,0.0,66426.0,129999.0,17000.0,0.0,0.0,146999.0,80573.0,23.446743,"[['HA2320-Smile style-40cm(0.4kg)', 'https://vn.xiapibuy.com/product/822397021/20426501564', 1]]"
221211DDE9N2DB,巴西,dx795.br,10,zeniltonvieirajunior,2022-12-11 20:31:57,无留言,线上支付,1.4032,1.94,0.49,1.46,1.0,23.0,23.0,0.0,27.89,25.31,0.0,18.0,0.0,43.31,15.420000000000002,21.637344,"[['HA3298-A-20cm', 'https://br.xiapibuy.com/product/799345426/16085680726', 1]]"
221211DB8YFVW5,哥伦比亚,DX -Juguetes para niños,10,f3z7jviq0l,2022-12-11 19:53:14,无留言,已作废,0.001494,1141.0,431.0,684.0,500.0,13250.0,13250.0,0.0,16006.0,14074.0,8000.0,0.0,0.0,22074.0,6068.0,9.065592,"[['HJ2011-Coelho', 'https://co.xiapibuy.com/product/830824436/20150351534', 1]]"
221211D9PNR4HA,巴西,dx795.br,10,mirian130,2022-12-11 19:25:36,无留言,已作废,1.4032,0.0,0.0,0.0,0.0,13.4,13.4,0.0,13.4,20.99,0.0,0.0,0.0,20.99,7.589999999999998,10.650287999999998,"[['HI3383-B', 'https://br.xiapibuy.com/product/799345426/19064155963', 1]]"
221211D6C75X5C,墨西哥,dx795.mx,10,cloudwoo98,2022-12-11 18:25:32,无留言,已作废,0.365,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,64.18,0.0,0.0,0.0,64.18,39.18000000000001,14.300700000000004,"[['HA6917-E', 'https://mx.xiapibuy.com/product/822398749/21949389847', 1]]"
221211D0U1K0N9,智利,dx795.cl,10,z0dxu5wvf6,2022-12-11 16:46:27,无留言,线上支付,0.007488,1335.0,304.0,801.0,900.0,5800.0,5800.0,0.0,9140.0,14250.0,1860.0,0.0,0.0,16110.0,6970.0,52.19136,"[['HA7933-brown', 'https://cl.xiapibuy.com/product/830835870/21543051641', 1], ['HA7933-orange', 'https://cl.xiapibuy.com/product/830835870/21543051641', 1]]"
221211CWDNHKBE,菲律宾,dx795.ph,10,_n_twgfr51,2022-12-11 15:45:17,无留言,货到付款,0.123,25.0,10.0,33.0,25.0,198.0,198.0,0.0,291.0,436.0,40.0,0.0,0.0,476.0,185.0,22.755,"[['HA7270-Pointed Missile Gray-50cm 0.4kg', 'https://ph.xiapibuy.com/product/822395589/16179790781', 1]]"
221211CSY77FYB,泰国,dx795.th,10,k0n8xwfdln,2022-12-11 14:43:31,无留言,货到付款,0.1905,8.0,3.0,6.0,8.0,77.0,77.0,0.0,102.0,126.0,29.0,0.0,0.0,155.0,53.0,10.0965,"[['HJ9695-Blue', 'https://th.xiapibuy.com/product/822398156/20040145283', 1]]"
221211CSEG97D0,越南,pet795.vn,10,hihiluna_heyhey,2022-12-11 14:36:00,无留言,线上支付,0.000291,6689.0,2274.0,8108.0,11262.0,44900.0,44900.0,0.0,73233.0,112616.0,2000.0,15000.0,0.0,129616.0,56383.0,16.407453,"[['GC4572-Black-180x72 cm', 'https://vn.xiapibuy.com/product/841366633/21949695431', 1]]"
221211CR77BP3S,越南,pet795.vn,10,hihiluna_heyhey,2022-12-11 14:12:11,无留言,已作废,0.000291,0.0,0.0,0.0,0.0,21600.0,21600.0,90614.0,112214.0,98461.0,0.0,0.0,0.0,98461.0,-13753.0,-4.002123,"[['GC4572-Black-110x72 cm', 'https://vn.xiapibuy.com/product/841366633/21949695431', 1]]"
221211CGJXWDXG,巴西,dx795.br,10,isaccarvalhomonteiro,2022-12-11 11:55:36,无留言,已作废,1.4032,0.0,0.0,0.0,0.0,12.0,12.0,0.0,12.0,20.32,0.0,0.0,0.0,20.32,8.32,11.674624,"[['HJ8592-Random', 'https://br.xiapibuy.com/product/799345426/13994484676', 1]]"
221211CBCFRTQN,越南,dx795.vn,10,sarvant,2022-12-11 10:22:29,无留言,线上支付,0.000291,3291.0,1471.0,3989.0,0.0,22400.0,22400.0,0.0,31151.0,49857.0,17000.0,0.0,0.0,66857.0,35706.0,10.390446,"[['HA8414-Wine red-15cm', 'https://vn.xiapibuy.com/product/822397021/18125670576', 1]]"
221211CAJPTDU1,菲律宾,dx795.ph,10,eyselcrisostomo,2022-12-11 10:08:04,无留言,货到付款,0.123,20.0,8.0,26.0,0.0,139.5,139.5,0.0,193.5,328.0,40.0,0.0,0.0,368.0,174.5,21.4635,"[['HA4005-1', 'https://ph.xiapibuy.com/product/822395589/17180985024', 1], ['HA4005-2', 'https://ph.xiapibuy.com/product/822395589/17180985024', 1]]"
221211C959D47A,智利,dx795.cl,10,skypionero,2022-12-11 09:42:41,无留言,线上支付,0.007488,1200.0,277.0,720.0,400.0,11880.0,11880.0,0.0,14477.0,12403.0,1860.0,0.0,0.0,14263.0,-214.0,-1.602432,"[['HJ9695-Brown', 'https://cl.xiapibuy.com/product/830835870/21539767460', 1]]"
221211C6N9QJ9B,越南,dx795.vn,10,langtuyet04,2022-12-11 08:57:57,无留言,货到付款,0.000291,8349.0,2783.0,10120.0,3500.0,41300.0,41300.0,0.0,66052.0,129999.0,0.0,17000.0,0.0,146999.0,80947.0,23.555577000000003,"[['HA2320-Surprised Style-40cm(0.4kg)', 'https://vn.xiapibuy.com/product/822397021/20426501564', 1]]"
